BIZRNO,ENT_NM,HDQTR_KOR_ADRS,HDQTR_KOR_DETAIL_ADRS,HDQTR_LEGAL_CD,HOMP_URL
0300000007,과천시보건소,"경기 과천시 관문로 69 (중앙동, 과천시청)",,4129010700,
0300000008,과천시지속가능발전협의회,"경기 과천시 향촌6길 18-9 (별양동, 과천회관)",2층,4129010900,
0300000009,과천시노인복지관,경기 과천시 공원마을길 3 (문원동),사회복지법인 큰소망 과천시노인복지관   ,4129010200,http://www.gcsilver.or.kr/
0300000010,과천도시공사,"경기 과천시 통영로 5 (중앙동, 과천시민회관)",과천도시공사,4129010700,http://www.gccs.or.kr/dev_home/
0300000011,과천시의회,"경기 과천시 관문로 69 (중앙동, 과천시청)",,4129010700,https://www.gccouncil.go.kr/source/korean/main/main.html
0300000012,경인지방데이터청,"대전 서구 청사로 189 (둔산동, 정부대전청사)",3동,3017011200,http://kostat.go.kr/regional/gi/index.action
0300000013,과천시건강가정지원센터,"경기 과천시 관악산길 58 (관문동, 온온사, 과천시 건강가정지원센타)",,4129010100,https://www.familynet.or.kr/web/index.do
0300000014,방송미디어통신위원회,"경기 과천시 관문로 47 (중앙동, 정부과천청사)",,4129010700,https://kcc.go.kr/user.do
0300000015,과천시정보과학도서관,"경기 과천시 중앙로 24 (갈현동, 과천시정보과학도서관)",,4129010300,http://www.gclib.go.kr/lib/SlimaPlus.csp?CSPCHD=002002020000xdmomJpkId0000lQMEqkGPL5ZxZQJoeni9HQ--
0300000016,과천종합사회복지관,"경기 과천시 별양상가1로 10 (별양동, 과천타워)",,4129010900,https://gcwelfare.or.kr/
0300000017,과천시종합자원봉사센터,"경기 과천시 별양상가1로 10 (별양동, 과천타워)",,4129010900,http://www.gcvc.org/main.asp
0300000018,푸른과천환경센터,"경기 과천시 향촌6길 18-9 (별양동, 과천회관)",,4129010900,https://www.gccity.go.kr/
0300000019,과천문화재단,"경기 과천시 관문로 69 (중앙동, 과천시청)",,4129010700,https://www.gccity.go.kr/main/main.do
0300000020,과천시정보과학도서관,"경기 과천시 중앙로 24 (갈현동, 과천시정보과학도서관)",,4129010300,http://www.gclib.go.kr/lib/SlimaPlus.csp
0300000021,과천시정신건강복지센터,"경기 과천시 관문로 69 (중앙동, 과천시청)",,4129010700,https://www.kcmhc.or.kr/
0300000022,과천시지역사회보장협의체,"경기 과천시 관문로 69 (중앙동, 과천시청)",,4129010700,https://www.gccity.go.kr/main/main.do
0300000023,군사안보지원사령부,경기 과천시 별양동 과천우체국사서함 1 ~ 123 (별양동),,4129010900,https://www.dssc.mil.kr/main.do?cmd=main
0300000024,(사)한국예술문화단체총연합회 과천지회,"경기 과천시 통영로 5 (중앙동, 과천시민회관)",2층,4129010700,http://yechong.or.kr/
0300000025,과천시청년공간 비행지구,"경기 과천시 중앙로 129 (중앙동, 고려빌딩)",501,4129010700,https://www.gccity.go.kr/dept/contents.do?mId=0209050000
0300000026,(재)과천시청소년육성재단,"경기 과천시 참마을로 9 (문원동, 청소년수련관)",과천시청소년수련관3층,4129010200,
0300000027,과천경찰서,"경기 과천시 통영로 20 (중앙동, 과천경찰서)",,4129010700,https://www.ggpolice.go.kr/gc/
0300000028,경기소리전수관,"경기 과천시 문원로 40-2 (문원동, 경기소리전수관)",,4129010200,http://www.gsih.or.kr/main.html
